rank,country,lat,long,score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
55,Honduras,15.199999,-86.241905,6.022,6.189,5.855,2.611,1.111,0.885,0.555,0.582,0.202,0.076
56,Portugal,39.399872,-8.224454,6.016,6.122,5.911,1.691,1.76,1.078,0.777,0.655,0.016,0.039
57,Argentina,-38.416097,-63.616672,5.967,6.09,5.844,1.891,1.592,1.102,0.662,0.555,0.081,0.085
58,Greece,39.074208,21.824312,5.948,6.043,5.853,2.119,1.703,0.98,0.774,0.249,0.015,0.108
59,South Korea,35.907757,127.766922,5.935,6.021,5.849,1.656,1.851,0.886,0.841,0.414,0.111,0.176
60,Philippines,12.879721,121.774017,5.904,6.007,5.8,2.283,1.268,0.912,0.514,0.678,0.107,0.142
61,Thailand,15.870032,100.992541,5.891,5.994,5.788,1.6,1.535,1.096,0.697,0.617,0.321,0.026
62,Moldova,47.411631,28.369885,5.857,5.948,5.766,2.142,1.417,1.008,0.597,0.561,0.102,0.028
63,Jamaica,18.109581,-77.297508,5.85,6.023,5.676,2.164,1.296,1.045,0.646,0.567,0.08,0.053
64,Kyrgyzstan,41.20438,74.766098,5.828,5.916,5.741,2.087,1.069,1.109,0.638,0.693,0.208,0.025
65,Belarus,53.709807,27.953389,5.821,5.95,5.693,1.811,1.562,1.157,0.629,0.342,0.04,0.282
66,Colombia,4.570868,-74.297333,5.781,5.903,5.659,1.971,1.452,0.929,0.72,0.545,0.087,0.077
67,Bosnia and Herzegovina,43.915886,17.679076,5.768,5.877,5.659,1.869,1.468,1.068,0.665,0.448,0.244,0.006
68,Mongolia,46.862496,103.846656,5.761,5.845,5.676,1.999,1.393,1.197,0.467,0.398,0.247,0.059
69,Dominican Republic,18.735693,-70.162651,5.737,5.873,5.601,1.751,1.538,1.003,0.577,0.606,0.084,0.179
70,Malaysia,4.210484,101.975766,5.711,5.845,5.578,1.471,1.689,0.938,0.62,0.654,0.213,0.126
71,Bolivia,-16.290154,-63.588653,5.6,5.709,5.491,2.107,1.256,0.88,0.555,0.627,0.112,0.064
72,China,35.86166,104.195397,5.585,5.65,5.52,1.516,1.508,0.958,0.705,0.656,0.099,0.142
73,Paraguay,-23.442503,-58.443832,5.578,5.689,5.467,1.555,1.409,1.13,0.624,0.629,0.171,0.059
74,Peru,-9.189967,-75.015152,5.559,5.679,5.439,1.89,1.397,0.865,0.735,0.545,0.09,0.037
